Symbol
AAPL
NVDA
MSFT
AMZN
META
GOOGL
GOOG
AVGO
TSLA
COST
ASML
NFLX
AMD
TMUS
PEP
AZN
LIN
ADBE
CSCO
PDD
QCOM
TXN
AMGN
INTU
ISRG
AMAT
CMCSA
ARM
BKNG
HON
SNY
VRTX
PANW
MU
ADP
ADI
REGN
SBUX
KLAC
LRCX
MELI
GILD
INTC
MDLZ
ABNB
CTAS
CEG
SNPS
EQIX
PYPL
CME
CRWD
CDNS
MAR
ORLY
CSX
JD
IBKR
WDAY
FTNT
MRVL
DASH
NXPI
ADSK
ROP
TTD
FANG
NTES
PCAR
CPRT
AEP
MNST
PAYX
KDP
APP
TEAM
ROST
CHTR
MPWR
FAST
COIN
DDOG
MSTR
ACGL
ODFL
KHC
TCOM
MCHP
GEHC
NDAQ
EXC
IDXX
VRSK
EA
CTSH
BKR
ALNY
BIDU
CCEP
XEL
LULU
AXON
TSCO
EBAY
ARGX
CSGP
ZS
ON
FER
FITB
CDW
WTW
FCNCA
ANSS
LI
BNTX
TW
ERIE
DXCM
BIIB
SMCI
TTWO
NTAP
VOD
SBAC
ICLR
TROW
RYAAY
HOOD
ILMN
STX
ERIC
BGNE
CHKP
FSLR
GFS
WDC
MRNA
HBAN
ZM
PTC
TPG
MDB
TER
CINF
COO
PFG
KSPI
UAL
STLD
EXE
EXPE
ZBRA
DKNG
NTRS
LPLA
HOLX
SSNC
WBD
VRSN
MANH
SYM
FWONK
ULTA
JBHT
CG
LINE
NTNX
GEN
RPRX
ALGN
ENTG
PODD
WMG
NTRA
UTHR
AKAM
SWKS
LNT
BSY
TRMB
FUTU
PCVX
FTAI
LOGI
GMAB
AZPN
DLTR
NDSN
SMMT
AFRM
MORN
GRAB
MNDY
CASY
CPB
DOCU
POOL
FLEX
GLPI
LAMR
ENPH
EVRG
VTRS
ARCC
BMRN
JKHY
TTEK
OKTA
EXAS
FFIV
CHRW
INSM
REG
INCY
HTHT
DUOL
HST
CYBR
PAA
SAIA
EWBC
SRPT
WING
TXRH
NBIX
TECH
SFM
WYNN
CART
ROKU
COKE
MMYT
LECO
MEDP
NICE
Z
PPC
MKTX
ALAB
RIVN
MBLY
LKQ
CHDN
DOX
HAS
APA
NWSA
OLED
VNOM
AUR
BRKR
WWD
MTCH
LBRDK
QRVO
CZR
XP
SOFI
HLNE
BILI
RGLD
FOXA
LEGN
WIX
ESLT
PCTY
AAON
SEIC
DSGX
OTEX
FOX
HSIC
ROIV
GTLB
FYBR
VFS
LNW
SIRI
RVMD
DBX
ENSG
MTSI
FSV
UFPI
CROX
CHRD
APPF
TLN
AGNC
ALTR
ITCI
WBA
LCID
ASND
AAL
DRS
CELH
BZ
MASI
LNTH
RGEN
CBSH
PNFP
AMKR
CIGI
TEM
EXEL
HQY
WTFC
ZION
SPSC
MKSI
VKTX
BPOP
CFLT
LSCC
MIDD
SAIC
CVLT
STEP
NSIT
BOKF
WFRD
HCP
FRPT
WSC
IEP
CGNX
SATS
NUVL
GNTX
JAZZ
CCCS
HALO
ASTS
LSTR
VRNS
PI
MAT
PARA
CSWI
CYTK
CRUS
QXO
LFUS
EXLS
GLBE
CRDO
CWST
REYN
PEGA
NOVT
NVMI
VERX
COOP
CHX
BWIN
IONS
RCM
AVAV
ONB
FRHC
GGAL
OLLI
EXPO
SIGI
ETSY
BECN
SRCL
COLB
ACT
BPMC
BCPC
LYFT
RRR
CACC
ACIW
MMSI
NXST
RNA
CRVL
UMBF
FFIN
NWS
NXT
FCFS
FIVE
KRYS
QFIN
VIRT
ACHC
TSEM
RARE
RDNT
SLM
DJT
OPCH
UBSI
TENB
XRAY
LANC
OZK
ESGR
BBIO
ITRI
STRL
RKLB
FELE
AVT
NVEI
CORT
CRNX
RMBS
ALGM
COLM
LITE
MDGL
WAY
QLYS
OS
ALKS
MARA
VLY
ACLX
TIGO
IAC
VRRM
HWC
BGC
TMDX
IMVT
PECO
EEFT
SBNY
IESC
ICUI
SHC
BLKB
SITM
DOOO
FIZZ
SBRA
UPST
AXSM
GDS
AEIS
GLNG
DNLI
CALM
ADMA
GBDC
CRSP
NCNO
IPAR
CCOI
CLBT
LOPE
IDCC
FLNC
ROAD
SGRY
IBOC
OMAB
ASO
KTOS
FTDR
WEN
VCTR
ATAT
NBIS
ALVO
LBTYK
SLAB
PLXS
PAGP
SRAD
PRCT
SANM
INTA
CAMT
FORM
ZI
ZG
SKYW
MRUS
TFSL
POWI
EBC
AXNX
RUN
LBTYA
WDFC
BANF
TCBI
IRDM
BL
CVCO
DORM
SHOO
MLCO
FRSH
STNE
TGTX
FROG
CORZ
LLYVK
HCM
SMPL
PCH
DYN
NWE
ALKT
URBN
IPGP
GSHD
APGE
SMTC
APLS
ACLS
MGEE
FULT
PTEN
NMIH
JJSF
ARLP
FIBK
OTTR
AGYS
RUSHA
CARG
CATY
PATK
LIF
NWL
ICFI
BRZE
AMED
PSNY
TRMD
POWL
NEOG
MLTX
XENE
ACVA
FOLD
CNXC
LOT
DOYU
RYTM
PAYO
FHB
WSFS
PTCT
DIOD
EWTX
CAR
IOVA
SYNA
USLM
WAFD
KYMR
FA
LIVN
MEOH
IOSP
PENN
CSQ
BHF
PRGS
SFNC
SNEX
PSMT
PLTK
QDEL
ASTH
INTR
HWKN
HUBG
TBBK
PLUS
LFST
PTGX
VRNA
AMRX
ALRM
DLO
MGRC
LGIH
GH
CVBF
GDRX
IDYA
GERN
BTSG
VC
MQ
RPD
AY
SBLK
VCYT
TWST
JANX
RELY
INDB
TOWN
RIOT
IBRX
HTLF
PLMR
ARCB
PPBI
NMRK
ZLAB
NMRA
WB
ACAD
KLIC
AMBA
IBTX
GOGL
OSIS
GT
NARI
CLSK
TNDM
AGIO
CGON
FFBC
UFPT
CPRX
SRRK
PYCR
ADUS
NFE
LAUR
VERA
AVPT
JBLU
ODD
AMPH
ARWR
SWTX
CRTO
SBCF
FIVN
APPN
WERN
KROS
DRVN
AZTA
GRFS
RNW
PSEC
GPCR
ALHC
JAMF
STRA
GCMG
ROCK
ENVX
EVGO
MYGN
BANR
FRME
MRCY
SLNO
NBTB
PTVE
PRVA
VEON
YY
CLDX
CMPR
TRUP
FLYW
AKRO
CNTA
MBIN
VCEL
VIAV
SPNS
BEAM
LMAT
EXPI
EXTR
CLOV
MRVI
SIMO
TRMK
CAKE
TRIP
ZD
NVAX
BATRK
HLMN
ROIC
RXST
LION
HRMY
GLPG
OMCL
TXG
MYRG
MRX
PINC
TTMI
CNXN
MIRM
HURN
HPK
EFSC
VECO
EVCM
HEES
DNUT
ENLT
HTIA
CERT
STGW
RXRX
KNSA
NTLA
LGND
VICR
SYBT
PLUG
DSGR
PTON
CASH
TFIN
FUSN
PWP
BCYC
PDCO
SUPN
VRDN
HROW
WSBC
ARVN
GTX
SKWD
UCTT
IRTC
MNKD
CLMT
SOUN
CLBK
OSW
FBNC
MGPI
CHCO
FWONA
NEO
MGNI
NAVI
APOG
VITL
PAX
NVCR
FTRE
OXLC
BLTE
NWBI
IAS
FOXF
ANDE
AVDX
MLKN
SPT
VSEC
PZZA
STER
NAMS
HELE
PCT
CDNA
WOOF
COCO
UPBD
SNDX
LKFN
WGS
CENTA
WULF
CENX
HLIT
CHEF
GO
INFN
APLD
STBA
RCKT
IMCR
STAA
NTCT
HOPE
BCRX
PLAB
RUM
MTTR
OCUL
NRIX
OLPX
NVEE
SGML
IART
XNCR
LILAK
ARHS
TLRY
SRCE
IREN
NEXT
SYRE
PGNY
NSSC
VRNT
WBTN
SASR
TCBK
BUSE
AFYA
LBRDA
TWKS
SONO
AMWD
BLBD
CSGS
KURA
ARDX
IRON
VBTX
SPRY
MCRI
VSAT
CRCT
PRDO
UPWK
TARS
LBPH
IQ
OPRA
MRTN
CIFR
DVAX
TIGR
AHCO
ATRC
KARO
BLMN
OCSL
DCBO
THRM
GIII
ACMR
LLYVA
ELVN
OPEN
UNIT
QCRH
WABC
RDFN
PLAY
MOMO
COMM
SABR
ULCC
WINA
ADEA
SDGR
CRAI
DMLP
ANGI
XRX
RBCAA
AVDL
NMFC
INMD
MFIC
TVTX
WVE
INVA
SAVA
QQQX
COGT
DAWN
FBYD
COLL
PDFS
ANIP
SAFT
XPEL
CSWC
RZLV
SSRM
ACDC
IMKTA
KRNT
KALU
GYRE
COHU
MXL
UDMY
CMPO
ULH
LZ
GABC
SBGI
TYRA
DCOM
TRNS
MESO
SCSC
PRAX
WLFC
HDL
ARQT
PNTG
FORTY
GDYN
FSUN
MSEX
TBLA
EH
AOSL
SEDG
EVO
ESTA
TILE
AUTL
RLAY
HIMX
SGH
PFBC
JBSS
CCEC
QNST
TASK
PEBO
ERII
DGII
PLYA
OCFC
HUT
ALGT
EOLS
SCVL
ECPG
TRS
AMPL
BLFS
UXIN
ASTL
VIR
ODP
SDA
OPK
VNET
INDV
ARRY
ATSG
PHVS
BTDR
PLSE
GCT
LUNR
FWRD
ADV
AUPH
FIP
REAX
AMAL
CMCO
SBSI
SEZL
ANAB
RDWR
NN
ICHR
CBRL
CNOB
APLT
BVS
AMRK
BBSI
IMTX
AVAH
CECO
PAHC
BCAX
AVBP
CHY
NRDS
HTZ
CGEM
ZYME
AMSF
NYAX
LQDA
PETQ
PRTA
KRUS
LMB
CSIQ
PTLO
FMBH
SLN
ORKA
HTLD
BRKL
CHI
PHAT
PARAA
IGIC
CTBI
BFC
DHC
SBC
CGBD
AMSC
CRGX
BHRB
IGMS
SANA
XMTR
SHLS
BELFB
CSTL
HSTM
DXPE
GPRE
BMBL
JACK
AVO
PFC
GSM
FWRG
